*[1]	Rank & Title	IMDb Rating	Your Rating	*[5]
                                 	       1.       The Shawshank Redemption         (1994)     	             9.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       2.       The Godfather         (1972)     	             9.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       3.       The Godfather: Part II         (1974)     	             9.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       4.       The Dark Knight         (2008)     	             9.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       5.       12 Angry Men         (1957)     	             8.9     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       6.       Schindler's List         (1993)     	             8.9     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       7.       The Lord of the Rings: The Return of the King         (2003)     	             8.9     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       8.       Pulp Fiction         (1994)     	             8.9     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       9.       The Good, the Bad and the Ugly         (1966)     	             8.8     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       10.       Fight Club         (1999)     	             8.8     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       11.       The Lord of the Rings: The Fellowship of the Ring         (2001)     	             8.8     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       12.       Forrest Gump         (1994)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       13.       Star Wars: Episode V - The Empire Strikes Back         (1980)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       14.       Inception         (2010)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       15.       The Lord of the Rings: The Two Towers         (2002)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       16.       One Flew Over the Cuckoo's Nest         (1975)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       17.       Goodfellas         (1990)     	             8.7     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       18.       The Matrix         (1999)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       19.       Seven Samurai         (1954)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       20.       City of God         (2002)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       21.       Se7en         (1995)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       22.       Star Wars: Episode IV - A New Hope         (1977)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       23.       The Silence of the Lambs         (1991)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       24.       It's a Wonderful Life         (1946)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       25.       Life Is Beautiful         (1997)     	             8.6     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       26.       The Usual Suspects         (1995)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       27.       Spirited Away         (2001)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       28.       Saving Private Ryan         (1998)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       29.       Léon: The Professional         (1994)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       30.       The Green Mile         (1999)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       31.       Interstellar         (2014)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       32.       Psycho         (1960)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       33.       American History X         (1998)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       34.       City Lights         (1931)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       35.       Once Upon a Time in the West         (1968)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       36.       Casablanca         (1942)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       37.       Modern Times         (1936)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       38.       The Intouchables         (2011)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       39.       The Pianist         (2002)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       40.       The Departed         (2006)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       41.       Terminator 2         (1991)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       42.       Back to the Future         (1985)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       43.       Whiplash         (2014)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       44.       Rear Window         (1954)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       45.       Raiders of the Lost Ark         (1981)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       46.       Gladiator         (2000)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       47.       The Lion King         (1994)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       48.       The Prestige         (2006)     	             8.5     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       49.       Apocalypse Now         (1979)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       50.       Memento         (2000)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       51.       Avengers: Infinity War         (2018)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       52.       Alien         (1979)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       53.       The Great Dictator         (1940)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       54.       Cinema Paradiso         (1988)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       55.       Grave of the Fireflies         (1988)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       56.       Sunset Boulevard         (1950)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       57.       The Lives of Others         (2006)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       58.       Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb         (1964)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       59.       Paths of Glory         (1957)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       60.       The Shining         (1980)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       61.       Django Unchained         (2012)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       62.       WALL·E         (2008)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       63.       Princess Mononoke         (1997)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       64.       Witness for the Prosecution         (1957)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       65.       American Beauty         (1999)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       66.       The Dark Knight Rises         (2012)     	             8.4     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       67.       Oldboy         (2003)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       68.       Coco         (2017)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       69.       Aliens         (1986)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       70.       Once Upon a Time in America         (1984)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       71.       Das Boot         (1981)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       72.       Citizen Kane         (1941)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       73.       Braveheart         (1995)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       74.       Vertigo         (1958)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       75.       North by Northwest         (1959)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       76.       Reservoir Dogs         (1992)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       77.       Star Wars: Episode VI - Return of the Jedi         (1983)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       78.       Your Name.         (2016)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
